https://hva-icts.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
https://hva-icts.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
http://fs.itandcare.nl/adfs/services/trust,Business Processing,en,Type of Service,en
http://sso.2at.net/adfs/services/trust,Business Processing,en,Type of Service,en
https://nyenrode.crosscampus.nl/saml,Business Processing,en,Type of Service,en
https://hva-ac.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://hva-ac.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
https://uva-ac.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://uva-ac.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
NL3358T-web.planonsoftware.com,Business Processing,en,Type of Service,en
https://telcoview.releasetms.com/saml_SURFnet_meta_get/module.php/saml/sp/metadata.php/SURFnetQaTvSp,Business Processing,en,Type of Service,en
https://hanze.p2p-portal.nl,Business Processing,en,Type of Service,en
https://www.mijnbabs.nl/iBabsMaintenance,Business Processing,en,Type of Service,en
https://atlas.rocva.nl/Proquro_Rocva_Prod,Business Processing,en,Type of Service,en
https://epsp.eur.nl/simplesaml/module.php/saml/sp/metadata.php/default-sp,Business Processing,en,Type of Service,en
https://windesheimreader.shop.canon.nl,Business Processing,en,Type of Service,en
https://epnuffic-test.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://epnuffic-test.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
https://epnuffic.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://epnuffic.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
https://tiu.myprintdesk.net/DSF/asp4/,Business Processing,en,Type of Service,en
https://jobboard.uva.nl/onelogin_saml/metadata,Business Processing,en,Type of Service,en
https://nlprint.external.xerox.com/login/module.php/saml/sp/metadata.php/SURFconext,Business Processing,en,Type of Service,en
https://hsle.facilitor.nl/saml,Business Processing,en,Type of Service,en
https://sp.sollicity.nl/module.php/saml/sp/metadata.php/tu_delft_surfnet_production-sp,Business Processing,en,Type of Service,en
https://tue.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://tue.topdesk.net/tas/secure/login/verify,Business Processing,en,Type of Service,en
https://stenden.crosscampus.nl/saml,Business Processing,en,Type of Service,en
https://fontys.mijnnieuweprinten.nl/saml,Business Processing,en,Type of Service,en
https://print.ricoh.nl/DSF/,Business Processing,en,Type of Service,en
https://fontys.shop.canon.nl,Business Processing,en,Type of Service,en
https://onderwijsgroeptilburg.topdesk.net/tas/public/login/verify,Business Processing,en,Type of Service,en
https://aventus.shop.canon.nl/,Business Processing,en,Type of Service,en
http://sso.connexys.nl/saml2/erasmusmc,Business Processing,en,Type of Service,en
https://teamwerk.umc-all.nl/adfs/services/trust,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hva.topdesk.com/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvatest.topdesk.com/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hva.topdesk.com/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvatest.topdesk.com/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://voorlichtingsysteem.nl/,Bedrijfsvoering,nl,Type of Service,nl
https://helicon.xpressionmanager.nl,Bedrijfsvoering,nl,Type of Service,nl
http://sp.onstage.xebic.com,Bedrijfsvoering,nl,Type of Service,nl
http://sp.tst-onstage.xebic.com,Bedrijfsvoering,nl,Type of Service,nl
https://hanze.shop.canon-bs.nl,Bedrijfsvoering,nl,Type of Service,nl
nl3358p-pss.planonsoftware.com,Bedrijfsvoering,nl,Type of Service,nl
nl3358a-pss.planonsoftware.com,Bedrijfsvoering,nl,Type of Service,nl
https://ssl1.peoplexs.com/Shibboleth.sso,Bedrijfsvoering,nl,Type of Service,nl
nl3358t-pss.planonsoftware.com,Bedrijfsvoering,nl,Type of Service,nl
https://www.desan.nl/net/hvarapportage,Bedrijfsvoering,nl,Type of Service,nl
https://ifs.adp.nl/,Bedrijfsvoering,nl,Type of Service,nl
https://topdeskacc.ac.uva.nl/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://topdesk.ac.uva.nl/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://topdeskacc.ac.uva.nl/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
https://topdesk.ac.uva.nl/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvatest.topdesk.net/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvatest.topdesk.net/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
https://printshop.che.nl,Bedrijfsvoering,nl,Type of Service,nl
https://www.elabjournal.com/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvaacceptatie.topdesk.net/tas/public/,Bedrijfsvoering,nl,Type of Service,nl
https://uva-hvaacceptatie.topdesk.net/tas/secure/,Bedrijfsvoering,nl,Type of Service,nl
